District Code,State,Seat,Urban Pop.,Suburban Pop.,Rural Pop.,Total Pop.,Urban Pop. %,Suburban Pop. %,Rural Pop. %,Total Pop. %
florida21,Florida,21,81491.53881121131,507427.46307701507,64830.43433769881,653749.4362259252,0.1246525569209809,0.7761803451890953,0.09916709788992378,1.0
florida22,Florida,22,129968.51134284011,531409.9864772531,11083.474266501433,672461.9720865947,0.193272655908792,0.7902454094591123,0.016481934632095723,1.0
florida23,Florida,23,161023.79255527252,507064.387904061,8805.024021181594,676893.2044805152,0.23788655505686598,0.7491054490541236,0.013007995889010365,1.0
florida24,Florida,24,403449.20249081176,292752.53247889376,4993.507936597635,701195.2429063033,0.5753735590369976,0.41750501795405454,0.007121423008947723,1.0
florida25,Florida,25,125073.71861257975,554408.4690955976,15452.95931887864,694935.147027056,0.17997897954600106,0.7977844716407945,0.022236548813204592,1.0
florida26,Florida,26,325389.7518961661,328556.86212323455,41718.037161540065,695664.6511809407,0.46773937894327916,0.4722920182382211,0.05996860281849984,1.0
florida27,Florida,27,353371.7295924498,347663.5363861964,8198.650070939824,709233.916049586,0.4982442627119708,0.4901958698234188,0.011559867464610386,1.0
florida28,Florida,28,261048.93637793238,359503.3964624393,44146.97329891133,664699.306139283,0.39273237382202325,0.5408511685539625,0.0664164576240142,1.0
georgia01,Georgia,1,133300.35283184302,306256.7699581397,249019.1104514395,688576.2332414222,0.1935883732209887,0.4447681392029149,0.3616434875760964,1.0
georgia02,Georgia,2,192268.2756142141,328524.69881903916,250633.54349876096,771426.5179320143,0.2492373170287603,0.42586648395199705,0.3248961990192425,1.0
georgia03,Georgia,3,60402.10017848276,331683.73627370835,320225.4436283187,712311.2800805098,0.08479733771962132,0.4656443686196004,0.44955829366077826,1.0
georgia04,Georgia,4,188349.91763013657,456747.47823094943,41573.28774360927,686670.6836046953,0.2742943919513046,0.6651623392937673,0.0605432687549281,1.0
georgia05,Georgia,5,404458.9982969411,245607.09938024415,13855.914270309448,663922.0119474947,0.6091965487189287,0.36993365931609995,0.020869791964971365,1.0
georgia06,Georgia,6,35409.88543857442,534862.2962382719,66375.58666309385,636647.7683399401,0.05561927206767055,0.8401227850573104,0.10425794287501908,1.0
georgia07,Georgia,7,57986.577617192495,567027.780957803,33894.12286753064,658908.4814425262,0.08800399334706457,0.8605562030654517,0.05143980358748362,1.0
georgia08,Georgia,8,104177.5659653986,244479.05258268258,393430.72760744416,742087.3461555253,0.14038450662863783,0.32944781210626534,0.5301676812650968,1.0
georgia09,Georgia,9,48060.44966574039,340331.56709745387,286000.2500722165,674392.2668354107,0.07126482913462857,0.5046492728845506,0.42408589798082086,1.0
georgia10,Georgia,10,81011.43201317704,273114.8453350218,316007.7996138545,670134.0769620533,0.12088839352929123,0.40755254019187426,0.47155906627883454,1.0
georgia11,Georgia,11,61167.62382225591,507640.25143232394,88778.29771777737,657586.1729723571,0.09301841543561046,0.771975251757101,0.13500633280728871,1.0
georgia12,Georgia,12,123506.72716061567,308763.48583985935,287137.86018650606,719408.073186981,0.17167826128706107,0.4291910215464162,0.3991307171665228,1.0
georgia13,Georgia,13,94146.12761476566,519565.6250014636,55586.170237989485,669297.9228542187,0.14066400686450634,0.7762845322838859,0.08305146085160768,1.0
georgia14,Georgia,14,70619.6690623703,354580.44438707025,297953.26212228497,723153.3755717255,0.09765517447324137,0.4903253671556725,0.4120194583710861,1.0
hawaii01,Hawaii,1,262876.59362422803,382824.04772603745,28621.450049163563,674322.091399429,0.38983832352085185,0.5677169005861249,0.04244477589302333,1.0
hawaii02,Hawaii,2,105972.4204173277,375882.40251894976,196584.71974014005,678439.5426764175,0.15620024151197118,0.5540396437331886,0.2897601147548402,1.0
iowa01,Iowa,1,162287.8248198926,335804.5247408973,268313.8256226672,766406.1751834571,0.21175171870326492,0.4381547743407922,0.3500935069559429,1.0
iowa02,Iowa,2,186381.17024927645,323299.9309759109,271909.86451497354,781590.9657401609,0.2384638236865684,0.4136433827248096,0.347892793588622,1.0
iowa03,Iowa,3,223379.68660700027,320519.53393693786,163443.42823443323,707342.6487783713,0.31580124143905663,0.45313192197656516,0.23106683658437832,1.0
iowa04,Iowa,4,177639.8102484973,284241.0571196914,328910.9935637268,790791.8609319155,0.224635354793809,0.3594385212623775,0.41592612394381345,1.0
idaho01,Idaho,1,98748.1984870777,369905.0789486468,289430.795975607,758084.0734113315,0.13026022040367752,0.4879473028421462,0.3817924767541762,1.0
idaho02,Idaho,2,144978.3011709178,389208.65301794774,275236.70091337233,809423.655102238,0.17911300251362886,0.4808466500386463,0.34004034744772477,1.0
illinois01,Illinois,1,414773.70633892185,300958.4778242283,42359.96823607958,758092.1523992297,0.5471283471623275,0.3969945828772229,0.055877069960449596,1.0
illinois02,Illinois,2,265461.53357144207,403109.0033442103,117083.8330339847,785654.369949637,0.33788589960806686,0.5130869486159045,0.14902715177602863,1.0
illinois03,Illinois,3,449312.36411266995,302342.257684498,6718.06505068366,758372.6868478516,0.5924690747767043,0.3986723980542766,0.008858527169019038,1.0
illinois04,Illinois,4,457792.90954791714,288368.5548664141,6969.111433605937,753130.5758479371,0.6078533048966918,0.3828931716678011,0.009253523435507224,1.0
illinois05,Illinois,5,421933.26395346574,292743.5913395247,7911.159255907473,722588.014548898,0.5839195439975199,0.4051320883342919,0.010948367668188219,1.0
illinois06,Illinois,6,98791.25747669645,633117.2444953315,9943.643349113156,741852.1453211412,0.13316839224604599,0.8534278002542686,0.01340380749968532,1.0
illinois07,Illinois,7,563769.3391085214,127559.46153656975,8580.706262953194,699909.5069080443,0.805488900413794,0.18225136289415883,0.01225973669204717,1.0
illinois08,Illinois,8,79507.98260614151,624116.9197402593,23785.88560763782,727410.7879540386,0.10930272677116966,0.8579978879550163,0.03269938527381413,1.0
illinois09,Illinois,9,304816.90722659964,422033.4318995493,7492.8838866662945,734343.2230128152,0.41508779229420384,0.5747086902607451,0.010203517445051078,1.0
illinois10,Illinois,10,95807.18984791824,596960.086595381,51657.59610190573,744424.8725452049,0.1286996087601847,0.8019077661314048,0.06939262510841057,1.0
illinois11,Illinois,11,61399.108627720474,621171.4307005629,65151.40134124403,747721.9406695274,0.08211489497384857,0.8307519104553114,0.08713319457084003,1.0
illinois12,Illinois,12,127845.08614065713,246368.94231177386,415445.549471067,789659.5779234979,0.1618989875065414,0.31199386317788963,0.5261071493155691,1.0
illinois13,Illinois,13,252184.01253675425,414479.1717384496,112067.73893051202,778730.9232057158,0.3238397308002308,0.5322495349641553,0.14391073423561387,1.0
illinois14,Illinois,14,101509.30570999521,543877.2277851223,87940.7379151236,733327.2714102411,0.13842292475334445,0.7416568958893446,0.11992017935731099,1.0
illinois15,Illinois,15,130596.97605441457,269865.44518621714,392818.96718748,793281.3884281118,0.16462881640673893,0.3401888020100357,0.4951823815832253,1.0
illinois16,Illinois,16,86342.54551752332,371853.31727627123,327108.64692878124,785304.5097225758,0.10994785391978142,0.4735148119901103,0.4165373340901083,1.0
illinois17,Illinois,17,282132.67671172635,327913.2539327583,161594.35436543458,771640.2850099193,0.3656271998656726,0.4249561101239589,0.2094166900103684,1.0
indiana01,Indiana,1,162230.16886356013,467991.4947677848,107716.78805605294,737938.4516873979,0.2198424116436791,0.6341877072507305,0.14596988110559042,1.0
indiana02,Indiana,2,162818.2961014577,298341.7332771552,283198.39560332254,744358.4249819354,0.21873641868889854,0.40080386446139243,0.38045971684970903,1.0
indiana03,Indiana,3,177014.76282763926,275420.6409515722,262484.50189881114,714919.9056780227,0.24760083111654346,0.38524684900242934,0.36715231988102714,1.0
indiana04,Indiana,4,103949.42540377734,316957.63419240795,279103.7820574022,700010.8416535875,0.14849687921722005,0.4527896074347659,0.398713513348014,1.0
indiana05,Indiana,5,130186.42631566965,404161.4961550665,156516.12803206022,690864.0505027963,0.18844000671466798,0.5850087232950191,0.22655126999031297,1.0
indiana06,Indiana,6,110966.83410683581,385623.1970876882,198242.05995521415,694832.0911497382,0.1597030930497454,0.5549876034792777,0.28530930347097694,1.0
indiana07,Indiana,7,379340.9990551944,318401.6256968171,11553.31450200194,709295.9392540135,0.5348134369049934,0.4488981369774781,0.01628842611752844,1.0
indiana08,Indiana,8,155229.88945406434,244183.6979561475,358128.11236985377,757541.6997800656,0.20491266619267517,0.3223369723766236,0.47275036143070126,1.0
indiana09,Indiana,9,133751.22875053572,258980.40401282054,341229.8372612675,733961.4700246237,0.1822319484237347,0.3528528602518222,0.46491519132444314,1.0
kansas01,Kansas,1,170219.37225645655,274656.85115153034,280589.89823282784,725466.1216408147,0.23463448833622283,0.3785936282321886,0.3867718834315886,1.0
kansas02,Kansas,2,208667.4055556307,293405.6697952739,241394.55162014073,743467.6269710453,0.28066777622283395,0.39464484955536705,0.3246873742217991,1.0
kansas03,Kansas,3,102004.19564874208,511209.73161449237,53526.09618946478,666740.0234526993,0.1529894592505719,0.7667302301235847,0.08028031062584334,1.0
kansas04,Kansas,4,232700.85905169745,327772.6523021684,156913.91804533396,717387.4293991998,0.32437264651623543,0.45689768020701543,0.21872967327674922,1.0
kentucky01,Kentucky,1,97083.66034715321,219063.76994956506,432955.5495988614,749102.9798955796,0.12959988539984993,0.2924347864429817,0.5779653281571684,1.0
kentucky02,Kentucky,2,90422.4146422083,257181.97276859925,348568.67923965614,696173.0666504637,0.1298849653538921,0.36942246847611215,0.5006925661699957,1.0
kentucky03,Kentucky,3,259617.889326028,443665.41284427134,12579.702308575956,715863.0044788753,0.3626642076789836,0.6197630134095911,0.01757277891142533,1.0
kentucky04,Kentucky,4,85103.6728980504,340990.6915023617,281175.71238878526,707270.0767891973,0.12032698072622638,0.4821223217167073,0.39755069755706635,1.0
kentucky05,Kentucky,5,54455.06092809846,160668.5753760786,564218.2137196894,779341.8500238664,0.06987313837493885,0.2061593065625288,0.7239675550625324,1.0
kentucky06,Kentucky,6,164168.85839063235,329483.5436416692,197194.2106738809,690846.6127061824,0.23763431038266303,0.47692720436308894,0.28543848525424814,1.0
louisiana01,Louisiana,1,109638.84489151918,392714.1806430668,168193.4963310702,670546.5218656561,0.16350669389272487,0.5856628404400955,0.25083046566717965,1.0
louisiana02,Louisiana,2,356338.87146666646,271580.16584458307,78681.63786499812,706600.6751762476,0.5043002136642238,0.3843474474134103,0.11135233892236593,1.0
louisiana03,Louisiana,3,166134.34072749817,279895.85157250013,292801.05234080326,738831.2446408016,0.22486101113423795,0.3788359704638336,0.39630301840192844,1.0
louisiana04,Louisiana,4,149469.0019784989,263103.8123397702,392044.7683897068,804617.582707976,0.18576402652730306,0.326992372518486,0.4872436009542108,1.0
louisiana05,Louisiana,5,132514.63297268972,206289.65141317353,450798.6172519775,789602.9016378408,0.16782439970499105,0.2612574637014066,0.5709181365936022,1.0
louisiana06,Louisiana,6,147469.16974391718,353761.1186281895,224967.3332435933,726197.6216157,0.20307030118856145,0.48714166515874113,0.30978803365269747,1.0
massachusetts01,Massachusetts,1,175650.15217907735,426188.2670671959,173686.37131912555,775524.7905653988,0.22649198880027943,0.5495482185121149,0.2239597926876057,1.0
massachusetts02,Massachusetts,2,139816.30518777578,421753.22923712723,163577.0987055673,725146.6331304703,0.1928110795801208,0.5816109597260507,0.2255779606938285,1.0
massachusetts03,Massachusetts,3,184920.09260274566,445430.91454405687,76242.0340772763,706593.0412240787,0.26170664274077216,0.6303924445284755,0.10790091273075247,1.0
massachusetts04,Massachusetts,4,124928.77240960763,520837.46149945894,74812.67513314297,720578.9090422095,0.17337278518970592,0.7228041994620047,0.10382301534828943,1.0
massachusetts05,Massachusetts,5,222332.7243524077,477795.97255882085,10195.560337240997,710324.2572484696,0.31300173418495025,0.6726448768758421,0.014353388939207542,1.0
massachusetts06,Massachusetts,6,131096.19415724534,539954.9744380532,48969.01821970295,720020.1868150015,0.18207294261727214,0.7499164389078256,0.0680106184749023,1.0
